"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2786","Create course","LMS system","2026-08-28","passed","2026-08-28","Courses","Courses","",""
"","1547","Registration with correct email, username and password","LMS system","2026-08-28","passed","2026-08-28","Registration","Authentication","",""
"","1504","User login with email or password","LMS system","2026-08-28","passed","2026-08-28","Authorization","Authentication","",""
"","1566","User login with email or password","LMS system","2026-08-28","passed","2026-08-28","Authorization","Authentication","",""
"","1577","Check displaying of dashboard page","LMS system","2026-08-28","passed","2026-08-28","Dashboard","Dashboard","",""
"","0","test_regression","tests.pytest","2026-08-28","passed","2026-08-28","","test_markers","",""
"","1671","User login with email or password","LMS system","2026-08-28","passed","2026-08-28","Authorization","Authentication","",""
"","2909","User login with correct email and password","LMS system","2026-08-28","passed","2026-08-28","Authorization","Authentication","",""
"","1255","Navigation from login page to registration page","LMS system","2026-08-28","passed","2026-08-28","Authorization","Authentication","",""
"","1531","Check displaying of empty courses list","LMS system","2026-08-28","passed","2026-08-28","Courses","Courses","",""
"","0","test_critical_login","tests.pytest","2026-08-28","passed","2026-08-28","","test_markers","",""
"","3250","Edit course","LMS system","2026-08-28","passed","2026-08-28","Courses","Courses","",""
